|          Country/Region          | Official/National language |
| -------------------------------- | -------------------------- |
| Afghanistan                      | - Persian (Dari)           |
|                                  | - Pashto                   |
| -------------------------------- | -------------------------- |
| Albania                          | - Albanian                 |
| -------------------------------- | -------------------------- |
| Algeria                          | - Arabic                   |
|                                  | - Tamazight                |
| -------------------------------- | -------------------------- |
| Andorra                          | - Catalan                  |
| -------------------------------- | -------------------------- |
| Angola                           | - Portuguese               |
| -------------------------------- | -------------------------- |
| Antigua and Barbuda              | - English                  |
| -------------------------------- | -------------------------- |
| Argentina                        | - Spanish                  |
| -------------------------------- | -------------------------- |
| Armenia                          | - Armenian                 |
| -------------------------------- | -------------------------- |
| Australia                        | - English                  |
| -------------------------------- | -------------------------- |
| Austria                          | - German                   |
| -------------------------------- | -------------------------- |
| Azerbaijan                       | - Azerbaijani              |
| -------------------------------- | -------------------------- |
| Bahamas                          | - English                  |
| -------------------------------- | -------------------------- |
| Bahrain                          | - Arabic                   |
| -------------------------------- | -------------------------- |
| Bangladesh                       | - Bengali                  |
| -------------------------------- | -------------------------- |
| Barbados                         | - English                  |
| -------------------------------- | -------------------------- |
| Belarus                          | - Belarusian               |
|                                  | - Russian                  |
| -------------------------------- | -------------------------- |
| Belgium                          | - Dutch                    |
|                                  | - French                   |
|                                  | - German                   |
| -------------------------------- | -------------------------- |
| Belize                           | - English                  |
| -------------------------------- | -------------------------- |
| Benin                            | - French                   |
| -------------------------------- | -------------------------- |
| Bhutan                           | - Dzongkha                 |
| -------------------------------- | -------------------------- |
| Bolivia                          | - Spanish                  |
| -------------------------------- | -------------------------- |
| Bosnia and Herzegovina           | - (Bosnian                 |
|                                  | - Croatian and Serbian     |
| -------------------------------- | -------------------------- |
| Botswana                         | - English                  |
| -------------------------------- | -------------------------- |
| Brazil                           | - Portuguese               |
| -------------------------------- | -------------------------- |
| Brunei                           | - Malay                    |
|                                  | - English                  |
| -------------------------------- | -------------------------- |
| Bulgaria                         | - Bulgarian                |
| -------------------------------- | -------------------------- |
| Burkina Faso                     | - French                   |
| -------------------------------- | -------------------------- |
| Burundi                          | - French                   |
|                                  | - Kirundi                  |
|                                  | - English                  |
| -------------------------------- | -------------------------- |
| Cambodia                         | - Khmer                    |
| -------------------------------- | -------------------------- |
| Cameroon                         | - English                  |
|                                  | - French                   |
| -------------------------------- | -------------------------- |
| Canada                           | - English                  |
|                                  | - French                   |
| -------------------------------- | -------------------------- |
| Cape Verde                       | - Portuguese               |
| -------------------------------- | -------------------------- |
| Central African Republic         | - French                   |
|                                  | - Sango                    |
| -------------------------------- | -------------------------- |
| Chad                             | - Arabic                   |
|                                  | - French                   |
| -------------------------------- | -------------------------- |
